method,alpha,epsilon,progress_pct,verified_pct,genuine_verified_pct,n_timeout,n_semantic_unresolved,alpha_label
Compressed L0L6 c=0.95,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,25,0.0,0.0,20.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,25,0.0,0.0,20.0,0.0,0.99
Implication L4L5,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Implication L4L5,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Implication L4L5+L5L6,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Unary ON/OFF,0.95,0.02,25,30.0,22.5,14.0,0.0,0.95
Unary ON/OFF,0.99,0.02,25,7.5,7.5,18.0,0.0,0.99
Baseline,,0.02,50,15.0,15.0,16.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,50,10.0,10.0,18.0,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,50,10.0,10.0,18.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Implication L4L5,0.95,0.02,50,12.5,12.5,17.5,0.0,0.95
Implication L4L5,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,50,15.0,10.0,17.0,1.0,0.95
Implication L4L5+L5L6,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Unary ON/OFF,0.95,0.02,50,72.5,47.5,5.5,1.5,0.95
Unary ON/OFF,0.99,0.02,50,35.0,35.0,13.0,0.0,0.99
Baseline,,0.02,75,17.5,17.5,15.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,75,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,75,17.5,17.5,16.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,75,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,75,17.5,17.5,16.5,0.0,0.99
Implication L4L5,0.95,0.02,75,20.0,17.5,16.0,0.5,0.95
Implication L4L5,0.99,0.02,75,20.0,20.0,16.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,75,20.0,15.0,16.0,1.0,0.95
Implication L4L5+L5L6,0.99,0.02,75,20.0,20.0,16.0,0.0,0.99
Unary ON/OFF,0.95,0.02,75,97.5,75.0,0.5,1.5,0.95
Unary ON/OFF,0.99,0.02,75,50.0,50.0,10.0,0.0,0.99
Baseline,,0.02,100,17.5,17.5,16.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,100,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,100,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Implication L4L5,0.95,0.02,100,20.0,17.5,16.0,0.5,0.95
Implication L4L5,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,100,20.0,12.5,16.0,1.5,0.95
Implication L4L5+L5L6,0.99,0.02,100,20.0,20.0,16.0,0.0,0.99
Unary ON/OFF,0.95,0.02,100,90.0,67.5,2.0,1.5,0.95
Unary ON/OFF,0.99,0.02,100,47.5,47.5,10.5,0.0,0.99
